timestamp,price,market_cap,total_volume,date,coin
1772798606193,2050.593709118484,247573070391.41302,19422313671.52331,2026-03-06 12:03:26.193,ethereum
1772802182814,2049.2665562967377,247332157535.45108,20084949571.45602,2026-03-06 13:03:02.814,ethereum
1772805818626,2017.047163266689,243964845361.35687,20904961842.477745,2026-03-06 14:03:38.626,ethereum
1772809386385,1981.7821985199919,238547113827.7009,22134179074.903957,2026-03-06 15:03:06.385,ethereum
1772812960821,1977.6239796025125,238628666128.63434,21351147993.95419,2026-03-06 16:02:40.821,ethereum
1772816608939,1971.1851533662496,237946617171.05634,21152138123.499317,2026-03-06 17:03:28.939,ethereum
1772820199538,1967.4604619146398,237502209221.66223,21113798381.631176,2026-03-06 18:03:19.538,ethereum
1772823781750,1974.9148054972716,238467709826.63232,19908367302.3396,2026-03-06 19:03:01.750,ethereum
1772827345573,1984.1726116377824,239494850620.45358,19895725542.928745,2026-03-06 20:02:25.573,ethereum
1772830941022,1980.3531024762194,239040121570.01938,19907452032.766846,2026-03-06 21:02:21.022,ethereum
1772834612801,1983.9366787606157,239417833722.6813,19661813114.375,2026-03-06 22:03:32.801,ethereum
1772838167879,1987.9279378264857,239984263412.3078,20417131130.23211,2026-03-06 23:02:47.879,ethereum
1772841775827,1978.7065114540444,238752243867.91223,19334739703.585934,2026-03-07 00:02:55.827,ethereum
1772845333749,1981.82517686465,239239725263.35895,19233094002.58815,2026-03-07 01:02:13.749,ethereum
1772848988029,1981.0883515357011,239145207825.6313,18717164191.38168,2026-03-07 02:03:08.029,ethereum
1772852590504,1983.2493666107002,239337714947.3903,18773398759.359562,2026-03-07 03:03:10.504,ethereum
1772856182982,1980.3151370198484,239032950383.646,18573772341.67018,2026-03-07 04:03:02.982,ethereum
1772859785752,1975.5708491871005,238556048401.12958,18529236394.830444,2026-03-07 05:03:05.752,ethereum
1772863377882,1977.9373509618629,238750398959.37204,18219131887.214115,2026-03-07 06:02:57.882,ethereum
1772866967403,1972.2527459764772,238114638981.2816,18859891280.20167,2026-03-07 07:02:47.403,ethereum
1772870623458,1982.1163284513907,239296713527.46274,18185149213.711967,2026-03-07 08:03:43.458,ethereum
1772874094512,1977.449056676776,238653830485.55695,18329808215.090385,2026-03-07 09:01:34.512,ethereum
1772877675751,1986.5744622657578,239785624923.39136,17494041309.257442,2026-03-07 10:01:15.751,ethereum
1772881264890,1984.043931346829,239417795288.0811,17944223752.670845,2026-03-07 11:01:04.890,ethereum
1772885035440,1988.8070268191993,240019039575.13312,16888898397.023294,2026-03-07 12:03:55.440,ethereum
1772888554956,1982.2405623561851,239210886818.7284,15607317065.779636,2026-03-07 13:02:34.956,ethereum
1772892213604,1981.524750798637,239076716280.61594,15186988827.712454,2026-03-07 14:03:33.604,ethereum
1772892351000,1978.159698956387,238748173057.8041,14831029928.587948,2026-03-07 14:05:51.000,ethereum
1770303771905,89.25846769253157,50764781887.97633,9268317442.590359,2026-02-05 15:02:51.905,solana
1770307367633,84.58835202267122,48006868476.55114,9680868369.10417,2026-02-05 16:02:47.633,solana
1770310887380,85.37995216455664,48353172079.24005,9912782104.08791,2026-02-05 17:01:27.380,solana
1770314588183,82.85124373741391,46980552313.44905,9940217242.614307,2026-02-05 18:03:08.183,solana
1770318156542,82.31743970318874,46347445641.78467,9947817245.852917,2026-02-05 19:02:36.542,solana
1770321784313,81.50777587995688,46204135636.20166,9833082346.657318,2026-02-05 20:03:04.313,solana
1770325432535,78.73838350685708,44548876077.78477,10592161537.161173,2026-02-05 21:03:52.535,solana
1770328990909,78.91962712282597,44717669693.134834,10950659525.105389,2026-02-05 22:03:10.909,solana
1770332590769,79.84741124136488,45265818211.09857,11267952120.954153,2026-02-05 23:03:10.769,solana
1770336186068,78.31876183201973,44462857923.66469,11375810342.667374,2026-02-06 00:03:06.068,solana
1770339764210,75.7586109382074,42864659884.43145,13266126686.970854,2026-02-06 01:02:44.210,solana
1770343352028,79.28892729749931,44812038811.914536,13787715265.660566,2026-02-06 02:02:32.028,solana
1770346971241,76.93640738237566,43622478590.02337,14222562018.745525,2026-02-06 03:02:51.241,solana
1770350594988,76.29744196428166,43178147951.12791,14349546440.46557,2026-02-06 04:03:14.988,solana
1770354173614,77.68390054095357,44012395406.86859,13933782440.75108,2026-02-06 05:02:53.614,solana
1770357798555,80.79203378820436,45630655796.05966,14633484451.304604,2026-02-06 06:03:18.555,solana
1770361403242,79.48202845751472,45070706133.265114,14625805672.019598,2026-02-06 07:03:23.242,solana
1770365010261,79.52252796429445,45064810276.949455,14457083894.194168,2026-02-06 08:03:30.261,solana
1770368560010,79.00655692979477,44779238697.37394,14549633261.480589,2026-02-06 09:02:40.010,solana
1770372074781,81.32785012614703,46092348488.07846,14709568936.13373,2026-02-06 10:01:14.781,solana
1770375794303,80.77296478102664,45800137905.43288,15018088975.492308,2026-02-06 11:03:14.303,solana
1770379411279,81.11463825677137,45980626251.9633,14502147571.057524,2026-02-06 12:03:31.279,solana
1770383014045,81.62550380793172,46245017367.30858,14491299343.577398,2026-02-06 13:03:34.045,solana
1770386484154,83.30302977066468,47270948684.290276,15250842261.177134,2026-02-06 14:01:24.154,solana
1770390188120,84.16142486546833,47708279373.600586,15488992487.54048,2026-02-06 15:03:08.120,solana
1770393815701,84.43248804703317,47905935563.05496,14531476874.399307,2026-02-06 16:03:35.701,solana
1770397390241,86.71164547760446,49120934023.204094,14976434430.335564,2026-02-06 17:03:10.241,solana
1770400952461,86.8341734412481,49258773493.646706,14933148345.464647,2026-02-06 18:02:32.461,solana
1770404533260,86.31385947793267,48920353230.36607,14762633947.655632,2026-02-06 19:02:13.260,solana
1770408158784,87.01467393245487,49308141669.04231,14376998872.386473,2026-02-06 20:02:38.784,solana
1770411794099,87.02580402823739,49323166465.29064,13970028158.449333,2026-02-06 21:03:14.099,solana
1770415413146,87.98423495142829,49858257833.76732,13022562069.658985,2026-02-06 22:03:33.146,solana
1770418954135,89.27741656049784,50633372091.94649,12919357304.423143,2026-02-06 23:02:34.135,solana
1770422580455,87.49524739680209,49603299711.008316,12642293149.067543,2026-02-07 00:03:00.455,solana
1770426183710,86.68153396610457,49147753596.17729,10882984400.470818,2026-02-07 01:03:03.710,solana
1770429751501,87.17964787099795,49477702021.32869,10072444738.994541,2026-02-07 02:02:31.501,solana
1770433390300,87.14142734329847,49413367780.1215,9544051995.38013,2026-02-07 03:03:10.300,solana
1770436849550,87.99253331315376,49918487999.18859,9240039643.434458,2026-02-07 04:00:49.550,solana
1770440617516,87.55294992721174,49631068961.92127,9139085234.56967,2026-02-07 05:03:37.516,solana
1770444245250,87.73810367374428,49783239481.02881,8952687430.51126,2026-02-07 06:04:05.250,solana
1770447792840,86.9410873211959,49340974912.463486,8846148124.141182,2026-02-07 07:03:12.840,solana
1770451420456,85.38211802615136,48436360329.3577,8936162960.287466,2026-02-07 08:03:40.456,solana
1770454950458,85.44127016217938,48473281600.31725,8617698493.532658,2026-02-07 09:02:30.458,solana
1770458604185,85.05764235281787,48249339501.20374,8416821446.135347,2026-02-07 10:03:24.185,solana
1770462149588,84.92706329155006,48173085312.20367,8105066309.895173,2026-02-07 11:02:29.588,solana
1770465790285,84.8554118752318,48151001487.02836,8087174298.131989,2026-02-07 12:03:10.285,solana
1770469367775,86.17592861544885,48891128772.55698,8180887133.003871,2026-02-07 13:02:47.775,solana
1770472955240,85.96501968725394,48765701293.60235,7709045756.903479,2026-02-07 14:02:35.240,solana
1770476601763,85.67072482711899,48615800488.66681,7200873641.983717,2026-02-07 15:03:21.763,solana
1770480230317,86.38934607577156,48993363497.97624,6831358056.342676,2026-02-07 16:03:50.317,solana
1770483820943,86.9386577919443,49301395730.2178,7342647871.522658,2026-02-07 17:03:40.943,solana
1770487434819,87.46301156751606,49595308821.684425,6893623267.381297,2026-02-07 18:03:54.819,solana
1770491008386,88.7964178554302,50373549009.99304,6795315411.206142,2026-02-07 19:03:28.386,solana
1770494597746,88.28081277581737,50090111444.93951,6512263294.877996,2026-02-07 20:03:17.746,solana
1770498184191,88.81991593987976,50386044655.11315,6216669877.485342,2026-02-07 21:03:04.191,solana
1770501766000,88.20253080624242,50074868097.69873,6015804431.12559,2026-02-07 22:02:46.000,solana
1770505399994,88.28652321422065,50095576565.02536,5672413942.935511,2026-02-07 23:03:19.994,solana
1770509037825,87.63240901941977,49726666815.53885,5437049917.598046,2026-02-08 00:03:57.825,solana
1770512659945,87.22607252264504,49489345193.879326,5301752006.2177515,2026-02-08 01:04:19.945,solana
1770516225836,87.84797097708827,49844412610.64086,5168272469.385033,2026-02-08 02:03:45.836,solana
1770519846667,87.19343388606623,49463217585.04392,5102493827.616375,2026-02-08 03:04:06.667,solana
1770523411763,86.83207567634855,49294493901.88859,4951365038.792543,2026-02-08 04:03:31.763,solana
1770526988303,87.17856099706687,49435581783.52544,4694132741.388634,2026-02-08 05:03:08.303,solana
1770530669854,87.14551212934096,49443859127.74073,4623203237.720911,2026-02-08 06:04:29.854,solana
1770534233035,87.11568009313135,49447603868.83896,4497864917.854193,2026-02-08 07:03:53.035,solana
1770537863922,87.21497196305077,49486098765.84267,4147547113.324441,2026-02-08 08:04:23.922,solana
1770541460199,88.45533742337473,50187672596.523506,4126170273.3674197,2026-02-08 09:04:20.199,solana
1770545013199,87.65558053367965,49761644705.68653,4030010759.6060114,2026-02-08 10:03:33.199,solana
1770548629106,86.90623021658949,49319281219.33692,4142452844.2052135,2026-02-08 11:03:49.106,solana
